"SECONDS";"PID";"VALUE";"UNITS";
"35720.8946684";"Engine RPM x1000";"1.2";"rpm";
"35721.1455409";"Average speed";"0";"km/h";
"35721.1455409";"Distance travelled";"0";"km";
"35721.1455409";"Distance travelled (Today)";"0";"km";
"35721.1455409";"Distance travelled (total)";"65.957169";"km";
"35721.1455409";"Distance travelled (Week)";"65.957169";"km";
"35721.1455409";"Vehicle acceleration";"0";"g";
"35721.1455409";"Vehicle speed";"0";"km/h";
"35721.5091877";"Engine RPM";"1170";"rpm";
"35721.5091877";"Engine RPM x1000";"1.2";"rpm";
"35721.7598352";"Engine coolant temperature";"44";"℃";
"35722.0452288";"Average speed";"0";"km/h";
"35722.0452288";"Distance travelled";"0";"km";
"35722.0452288";"Distance travelled (Today)";"0";"km";
"35722.0452288";"Distance travelled (total)";"65.957169";"km";
"35722.0452288";"Distance travelled (Week)";"65.957169";"km";
"35722.0452288";"Vehicle acceleration";"0";"g";
"35722.0452288";"Vehicle speed";"0";"km/h";
"35722.4466373";"Engine RPM";"1146";"rpm";
"35722.4466373";"Engine RPM x1000";"1.1";"rpm";
"35722.8313347";"Average speed";"0";"km/h";
"35722.8313347";"Distance travelled";"0";"km";
"35722.8313347";"Distance travelled (Today)";"0";"km";
"35722.8313347";"Distance travelled (total)";"65.957169";"km";
"35722.8313347";"Distance travelled (Week)";"65.957169";"km";
"35722.8313347";"Vehicle acceleration";"0";"g";
"35722.8313347";"Vehicle speed";"0";"km/h";
"35723.4129047";"Engine RPM";"1148";"rpm";
"35723.4129047";"Engine RPM x1000";"1.1";"rpm";
"35723.7151078";"Engine coolant temperature";"45";"℃";
"35723.9310123";"Average speed";"0";"km/h";
"35723.9310123";"Distance travelled";"0";"km";
"35723.9310123";"Distance travelled (Today)";"0";"km";
"35723.9310123";"Distance travelled (total)";"65.957169";"km";
"35723.9310123";"Distance travelled (Week)";"65.957169";"km";
"35723.9310123";"Vehicle acceleration";"0";"g";
"35723.9310123";"Vehicle speed";"0";"km/h";
"35724.212858";"Engine RPM";"1131";"rpm";
"35724.212858";"Engine RPM x1000";"1.1";"rpm";
"35724.5973048";"Average speed";"0";"km/h";
"35724.5973048";"Distance travelled";"0";"km";
"35724.5973048";"Distance travelled (Today)";"0";"km";
"35724.5973048";"Distance travelled (total)";"65.957169";"km";
"35724.5973048";"Distance travelled (Week)";"65.957169";"km";
"35724.5973048";"Vehicle acceleration";"0";"g";
"35724.5973048";"Vehicle speed";"0";"km/h";
"35724.9090818";"Engine RPM";"1143";"rpm";
"35724.9090818";"Engine RPM x1000";"1.1";"rpm";
"35725.159151";"Engine coolant temperature";"45";"℃";
"35725.361589";"Average speed";"0";"km/h";
"35725.361589";"Distance travelled";"0";"km";
"35725.361589";"Distance travelled (Today)";"0";"km";
"35725.361589";"Distance travelled (total)";"65.957169";"km";
"35725.361589";"Distance travelled (Week)";"65.957169";"km";
"35725.361589";"Vehicle acceleration";"0";"g";
"35725.361589";"Vehicle speed";"0";"km/h";
"35725.6794963";"Engine RPM";"1132";"rpm";
"35725.6794963";"Engine RPM x1000";"1.1";"rpm";
"35726.0625269";"Average speed";"0";"km/h";
"35726.0625269";"Distance travelled";"0";"km";
"35726.0625269";"Distance travelled (Today)";"0";"km";
"35726.0625269";"Distance travelled (total)";"65.957169";"km";
"35726.0625269";"Distance travelled (Week)";"65.957169";"km";
"35726.0625269";"Vehicle acceleration";"0";"g";
"35726.0625269";"Vehicle speed";"0";"km/h";
"35726.3964491";"Engine RPM";"1142";"rpm";
