time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:49:07.736,12.82979427278626,11.85605689759143,16.605018992138827,11.85605689759143,12.833960606686643,23.59431877410059,-0.30325,4.705882352941177,11.168200452083997,4.476997007218826,21.656753751555552,3.360509,364.264503,3.360509,81,1610,1.6,1,1.6865886883712151,0.28191,21.935918,0.28191,193.95769916268975,32.41965,2288.01840382,32.41965,17.514898298859432,38,71,10.980392156862745,0.039324090669228574,50,
09:49:08.165,12.82979427278626,11.85605689759143,16.605018992138827,11.85605689759143,12.833960606686643,23.59431877410059,-0.30325,4.705882352941177,11.168200452083997,4.476997007218826,21.656753751555552,3.360509,364.264503,3.360509,81,1610,1.6,1,1.6865886883712151,0.28191,21.935918,0.28191,193.95769916268975,32.41965,2288.01840382,32.41965,17.514898298859432,38,71,10.196078431372548,0.039324090669228574,50,
09:49:08.405,12.829648642041763,11.860131641638285,16.604760975492347,11.860131641638285,12.833481356375954,23.59431877410059,-0.30325,4.705882352941177,11.168200452083997,4.288967523563239,21.656753751555552,3.360509,364.264503,3.360509,81,1651,1.7,1,1.688023916772596,0.283345,21.937353,0.283345,194.12275042884852,32.584675000000004,2288.1834288200002,32.584675000000004,16.77928974738968,38,71,10.196078431372548,0.039324090669228574,50,
09:49:08.655,12.829648642041763,11.860131641638285,16.604760975492347,11.860131641638285,12.833481356375954,23.603810213761616,-0.30325,4.705882352941177,11.890973694673635,4.288967523563239,21.67297177847222,3.376727,364.280721,3.376727,81,1651,1.7,1,1.688023916772596,0.283345,21.937353,0.283345,194.12275042884852,32.584675000000004,2288.1834288200002,32.584675000000004,16.77928974738968,38,71,10.196078431372548,0.03364293356866213,51,
09:49:08.971,12.829648642041763,11.860131641638285,16.604760975492347,11.860131641638285,12.833481356375954,23.603810213761616,-0.37325,4.705882352941177,11.890973694673635,4.288967523563239,21.67297177847222,3.376727,364.280721,3.376727,81,1651,1.7,1,1.688023916772596,0.283345,21.937353,0.283345,194.12275042884852,32.584675000000004,2288.1834288200002,32.584675000000004,16.77928974738968,38,64,10.196078431372548,0.03364293356866213,51,
09:49:09.404,12.829648642041763,11.860131641638285,16.604760975492347,11.860131641638285,12.833481356375954,23.603810213761616,-0.37325,4.705882352941177,11.890973694673635,4.288967523563239,21.67297177847222,3.376727,364.280721,3.376727,81,1651,1.7,1,1.688023916772596,0.283345,21.937353,0.283345,194.12275042884852,32.584675000000004,2288.1834288200002,32.584675000000004,16.77928974738968,38,64,9.019607843137255,0.03364293356866213,51,
09:49:09.639,12.829006794709299,11.860899773089702,16.604479198450303,11.860899773089702,12.832684062821283,23.603810213761616,-0.37325,4.705882352941177,11.890973694673635,3.9363619322052155,21.67297177847222,3.376727,364.280721,3.376727,81,1681,1.7,1,1.6893725387541447,0.284694,21.938702,0.284694,194.27784195672663,32.73981,2288.33856382,32.73981,15.399826892648683,38,64,9.019607843137255,0.03364293356866213,51,
09:49:09.969,12.829006794709299,11.860899773089702,16.604479198450303,11.860899773089702,12.832684062821283,23.614696402453514,-0.37325,4.705882352941177,12.956125701436441,3.9363619322052155,21.691586854972222,3.395342,364.29933600000004,3.395342,81,1681,1.7,1,1.6893725387541447,0.284694,21.938702,0.284694,194.27784195672663,32.73981,2288.33856382,32.73981,15.399826892648683,38,64,9.019607843137255,0.03347752811358281,51,
09:49:10.248,12.829006794709299,11.860899773089702,16.604479198450303,11.860899773089702,12.832684062821283,23.614696402453514,-0.41325000000000006,4.705882352941177,12.956125701436441,3.9363619322052155,21.691586854972222,3.395342,364.29933600000004,3.395342,81,1681,1.7,1,1.6893725387541447,0.284694,21.938702,0.284694,194.27784195672663,32.73981,2288.33856382,32.73981,15.399826892648683,38,60,9.019607843137255,0.03347752811358281,51,
09:49:10.695,12.829006794709299,11.860899773089702,16.604479198450303,11.860899773089702,12.832684062821283,23.614696402453514,-0.41325000000000006,4.705882352941177,12.956125701436441,3.9363619322052155,21.691586854972222,3.395342,364.29933600000004,3.395342,81,1681,1.7,1,1.6893725387541447,0.284694,21.938702,0.284694,194.27784195672663,32.73981,2288.33856382,32.73981,15.399826892648683,38,60,9.019607843137255,0.03347752811358281,51,
