time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:55:30.086,24.56663858663918,20.57022911315496,17.178142525429045,20.57022911315496,20.977444372968925,32.007872466569005,31.60756961384854,1.297157627141198,12.424430290777774,32.000581,316.204899,32.000581,1334,1.3,,0.5054681015299576,1.555345,18.407003,1.555345,58.12883167594512,178.864675,1882.1931788200002,178.864675,5.0747373474528255,-0.05629952413098968,41,
19:55:30.392,24.569911811562285,20.571822643251213,17.17831570582226,20.571822643251213,20.977444372968925,32.007872466569005,31.60756961384854,1.2436766155274308,12.424430290777774,32.000581,316.204899,32.000581,1279,1.3,,0.5056766335209635,1.555554,18.407212,1.555554,58.1528128549108,178.88871,1882.21721382,178.88871,4.865509046021115,-0.05629952413098968,41,
19:55:30.702,24.569911811562285,20.571822643251213,17.17831570582226,20.571822643251213,20.977444372968925,32.01051018046307,30.55456661769312,1.2436766155274308,12.430926217666663,32.007077,316.211395,32.007077,1279,1.3,,0.5056766335209635,1.555554,18.407212,1.555554,58.1528128549108,178.88871,1882.21721382,178.88871,4.865509046021115,-0.05637935070590802,38,
19:55:31.018,24.57295089076902,20.57332705128568,17.178480095031272,20.57332705128568,20.977444372968925,32.01051018046307,30.55456661769312,1.1619965250627677,12.430926217666663,32.007077,316.211395,32.007077,1195,1.2,,0.5058784463015558,1.555756,18.407414,1.555756,58.17602132467891,178.91194,1882.24044382,178.91194,4.545960367470861,-0.05637935070590802,38,
19:55:31.331,24.57295089076902,20.57332705128568,17.178480095031272,20.57332705128568,20.977444372968925,32.011874290748814,30.120572002665327,1.1619965250627677,12.43713104294444,32.013282,316.2176,32.013282,1195,1.2,,0.5058784463015558,1.555756,18.407414,1.555756,58.17602132467891,178.91194,1882.24044382,178.91194,4.545960367470861,-0.08084346455697267,35,
19:55:31.647,24.575891171274474,20.574776277870463,17.178638004311914,20.574776277870463,20.977444372968925,32.011874290748814,30.120572002665327,1.094902165038223,12.43713104294444,32.013282,316.2176,32.013282,1126,1.1,,0.5060703986792381,1.555948,18.407606,1.555948,58.19809584811238,178.93402,1882.26252382,178.93402,4.283473952947438,-0.08084346455697267,35,
19:55:31.930,24.575891171274474,20.574776277870463,17.178638004311914,20.574776277870463,20.977444372968925,32.01356218842423,32.87965002676129,1.094902165038223,12.44305310194444,32.019204,316.223522,32.019204,1126,1.1,,0.5060703986792381,1.555948,18.407606,1.555948,58.19809584811238,178.93402,1882.26252382,178.93402,4.283473952947438,-0.08084346455697267,36,
19:55:32.256,24.57875546846853,20.576175512328664,17.178789868722955,20.576175512328664,20.977444372968925,32.01356218842423,32.87965002676129,1.077399288510081,12.44305310194444,32.019204,316.223522,32.019204,1108,1.1,,0.5062523657028657,1.55613,18.407788,1.55613,58.219022055829555,178.95495,1882.2834538200002,178.95495,4.214999236115242,-0.08084346455697267,36,
19:55:32.551,24.57875546846853,20.576175512328664,17.178789868722955,20.576175512328664,20.977444372968925,32.01488538003184,32.485634966773524,1.077399288510081,12.44908317708333,32.025234,316.229552,32.025234,1108,1.1,,0.5062523657028657,1.55613,18.407788,1.55613,58.219022055829555,178.95495,1882.2834538200002,178.95495,4.214999236115242,-0.08084346455697267,35,
19:55:32.871,24.58190700296471,20.577670258496056,17.178949463623578,20.577670258496056,20.977444372968925,32.01488538003184,32.485634966773524,1.0550345018352325,12.44908317708333,32.025234,316.229552,32.025234,1085,1.1,,0.5064327668143038,1.55631,18.407968,1.55631,58.23976818364494,178.97565,1882.3041538200002,178.97565,4.127503764607434,-0.08084346455697267,35,
19:55:33.170,24.58190700296471,20.577670258496056,17.178949463623578,20.577670258496056,20.977444372968925,32.01620858996255,33.17427054671435,1.0550345018352325,12.455118684027774,32.03127,316.235588,32.03127,1085,1.1,,0.5064327668143038,1.55631,18.407968,1.55631,58.23976818364494,178.97565,1882.3041538200002,178.97565,4.127503764607434,-0.08084346455697267,35,
