time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:06:01.686,,,16.862785116616966,,0,-0.69325,,0.4396945241402347,0,0,284.204318,0,1264,1.3,1,0.0022772381884115667,0.002279,16.853937000000002,0.002279,0.2618823916673302,0.262085,1703.5905888200002,0.262085,1.7201719948581564,,32,0,0,0,
09:06:01.920,,,16.86265204784364,,0,-0.69325,,0.4206360349849427,0,0,284.204318,0,1247,1.2,1,0.002410168300931901,0.002412,16.85407,0.002412,0.27716935460716857,0.27738,1703.6058838200001,0.27738,1.6456114135697135,,32,0,0,0,
09:06:02.157,,,16.86265204784364,,0,-0.69325,,0.4206360349849427,0,0,284.204318,0,1247,1.2,1,0.002410168300931901,0.002412,16.85407,0.002412,0.27716935460716857,0.27738,1703.6058838200001,0.27738,1.6456114135697135,,32,0,0,0,
09:06:02.380,,,16.86265204784364,,0,-0.69325,,0.4206360349849427,0,0,284.204318,0,1247,1.2,1,0.002410168300931901,0.002412,16.85407,0.002412,0.27716935460716857,0.27738,1703.6058838200001,0.27738,1.6456114135697135,,32,0,0,0,
09:06:02.864,,,16.86265204784364,,0,-0.69325,,0.4206360349849427,0,0,284.204318,0,1247,1.2,1,0.002410168300931901,0.002412,16.85407,0.002412,0.27716935460716857,0.27738,1703.6058838200001,0.27738,1.6456114135697135,,32,0,0,0,
09:06:03.071,,,16.86251898117045,,0,-0.69325,,0.4155762591030067,0,0,284.204318,0,1232,1.2,1,0.002543072497626856,0.002545,16.854203000000002,0.002545,0.29245333722708844,0.292675,1703.62117882,0.292675,1.625816568979861,,32,0,0,0,
09:06:03.295,,,16.86251898117045,,0,-0.69325,,0.4155762591030067,0,0,284.204318,0,1232,1.2,1,0.002543072497626856,0.002545,16.854203000000002,0.002545,0.29245333722708844,0.292675,1703.62117882,0.292675,1.625816568979861,,32,0,0,0,
09:06:03.530,,,16.86251898117045,,0,-0.68325,,0.4155762591030067,0,0,284.204318,0,1232,1.2,1,0.002543072497626856,0.002545,16.854203000000002,0.002545,0.29245333722708844,0.292675,1703.62117882,0.292675,1.625816568979861,,33,0,0,0,
09:06:03.993,,,16.86251898117045,,0,-0.68325,,0.4155762591030067,0,0,284.204318,0,1232,1.2,1,0.002543072497626856,0.002545,16.854203000000002,0.002545,0.29245333722708844,0.292675,1703.62117882,0.292675,1.625816568979861,,33,0,0,0,
09:06:04.214,,,16.86238291516505,,0,-0.68325,,0.4292587363837419,0,0,284.204318,0,1234,1.2,1,0.002679205514685329,0.002681,16.854339,0.002681,0.30810863418881285,0.30831499999999995,1703.6368188200001,0.30831499999999995,1.6793451278915867,,33,0,0,0,
